Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,C_a,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio,Fecha
GFNORTEO,GPO FINANCE BANORTE,Equity,9.55,115.25,"44,655,653.00","5,146,564,008.25","5,146,564,008.25",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
CEMEXCPO,CEMEX CPO,Equity,8.24,16.09,"275,801,661.00","4,437,648,725.49","4,437,648,725.49",Materiales,2406457,MXP225611567,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
TLEVISAC,GRUPO TELEVISA,Equity,4.3,50.26,"46,098,157.00","2,316,893,370.82","2,316,893,370.82",Comunicación,2380108,MXP4987V1378,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
ELEKTRA,GRUPO ELEKTRA,Equity,3,"1,521.83","1,063,045.00","1,617,773,772.35","1,617,773,772.35",Financieros,2967084,MX01EL000003,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
GAPB,GRUPO AEROPORTUARIO DEL PACIFICO,Equity,2.58,208.24,"6,674,246.00","1,389,844,987.04","1,389,844,987.04",Industriales,B0ZV104,MX01GA000004,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
ASURB,GRUPO AEROPORTUARIO DEL SURESTE B,Equity,2.31,342.61,"3,634,464.00","1,245,203,711.04","1,245,203,711.04",Industriales,2639349,MXP001661018,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
ORBIA,ORBIA ADVANCE CORP SA DE CV,Equity,1.93,56.5,"18,361,949.00","1,037,450,118.50","1,037,450,118.50",Materiales,BH3T8K8,MX01OR010004,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
BIMBOA,GRUPO BIMBO A,Equity,1.92,40.54,"25,453,429.00","1,031,882,011.66","1,031,882,011.66",Productos básicos de consumo,2392471,MXP495211262,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
KOFUBL,COCA-COLA FEMSA CLASS UBL UNITS,Equity,1.68,94.83,"9,567,150.00","907,252,834.50","907,252,834.50",Productos básicos de consumo,BHHP0S4,MX01KO000002,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
KIMBERA,KIMBERLY-CLARK DE MEXICO CLASS A,Equity,1.67,35,"25,675,080.00","898,627,800.00","898,627,800.00",Productos básicos de consumo,2491914,MXP606941179,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
AC,ARCA CONTINENTAL,Equity,1.62,108.46,"8,034,260.00","871,395,839.60","871,395,839.60",Productos básicos de consumo,2823885,MX01AC100006,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
GRUMAB,GRUMA,Equity,1.56,220.29,"3,812,690.00","839,897,480.10","839,897,480.10",Productos básicos de consumo,2392545,MXP4948K1056,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
OMAB,GRUPO AEROPORTUARIO DEL CENTRO NOR,Equity,1.46,125.96,"6,265,905.00","789,253,393.80","789,253,393.80",Industriales,B1KFX13,MX01OM000018,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
GFINBURO,GRUPO FINANCIERO INBURSA SRIES O,Equity,1.37,18.82,"39,199,787.00","737,739,991.34","737,739,991.34",Financieros,2822398,MXP370641013,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
ALFAA,ALFA A,Equity,1.34,14.17,"51,000,917.00","722,682,993.89","722,682,993.89",Industriales,2043423,MXP000511016,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
IENOVA*,INFRAESTRUCTURA ENERGETICA NOVA,Equity,1.28,86.77,"7,934,708.00","688,494,613.16","688,494,613.16",Servicios,B84XBP2,MX01IE060002,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
PINFRA,PROMOTORA Y OPERADORA DE INFRAESTR,Equity,1.11,156.54,"3,810,812.00","596,544,510.48","596,544,510.48",Industriales,2393388,MX01PI000005,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
PE&OLES,INDUST PENOLES,Equity,1.09,260.87,"2,244,192.00","585,442,367.04","585,442,367.04",Materiales,2448200,MXP554091415,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
CUERVO,BECLE SA DE CV,Equity,0.9,48.31,"9,990,269.00","482,629,895.39","482,629,895.39",Productos básicos de consumo,BYM4063,MX01CU010003,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
VESTA*,CORPORACION INMOBILIARIA VESTA,Equity,0.89,39.48,"12,133,194.00","479,018,499.12","479,018,499.12",Inmobiliario,B8F6ZF8,MX01VE0M0003,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
GCARSOA1,GRUPO CARSO SERIES A1,Equity,0.88,57.75,"8,251,393.00","476,517,945.75","476,517,945.75",Industriales,2393452,MXP461181085,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
GCC*,GRUPO CEMENTOS,Equity,0.79,143.94,"2,952,227.00","424,943,554.38","424,943,554.38",Materiales,2946663,MX01GC2M0006,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
BBAJIOO,BANCO DEL BAJIO INSTITUCION DE BAN,Equity,0.78,32.12,"13,012,592.00","417,964,455.04","417,964,455.04",Financieros,BYSX0F3,MX41BB000000,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
MEGAC,MEGACABLE HOLDINGS CPO,Equity,0.75,74.11,"5,460,440.00","404,673,208.40","404,673,208.40",Comunicación,B292SM8,MX01ME090003,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
BOLSAA,BOLSA MEXICANA DE VALORES,Equity,0.72,44.94,"8,646,698.00","388,582,608.12","388,582,608.12",Financieros,B39VVF6,MX01BM1B0000,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
Q*,QUALITAS CONTROLADORA,Equity,0.65,110.06,"3,161,816.00","347,989,468.96","347,989,468.96",Financieros,BYMXF65,MX01Q0000008,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
SITESB.1,TELESITES B-1,Equity,0.6,19.13,"16,840,876.00","322,165,957.88","322,165,957.88",Comunicación,BD0G5P8,MX01SI080038,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
LIVEPOLC.1,EL PUERTO DE LIVERPOOL C1,Equity,0.57,85.69,"3,599,028.00","308,400,709.32","308,400,709.32",Consumo discrecional,2306814,MXP369181377,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
ALSEA,ALSEA DE CV,Equity,0.56,32.95,"9,170,711.00","302,174,927.45","302,174,927.45",Consumo discrecional,2563017,MXP001391012,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
MXN,MXN CASH,Cash,0.53,100,"286,603,708.00","286,603,707.75","286,603,707.75",Liquidez,-,-,-,México,MXN,MXN,1,30/04/2021
LABB,GENOMMA LAB INTERNATIONAL,Equity,0.52,20.24,"13,752,664.00","278,353,919.36","278,353,919.36",Cuidado de la Salud,B3B1C73,MX01LA010006,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
RA,REGIONAL SAB DE CV,Equity,0.43,102.91,"2,271,199.00","233,729,089.09","233,729,089.09",Financieros,BG1Z6X0,MX01R0000006,Bolsa Mexicana De Valores,México,MXN,MXN,1,30/04/2021
AMXL,AMERICA MOVIL L,Equity,11.86,15.58,"433,866,211.00","6,759,635,567.38","6,759,635,567.38",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
GFNORTEO,GPO FINANCE BANORTE,Equity,10.81,137.48,"44,842,100.00","6,164,891,908.00","6,164,891,908.00",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
WALMEX,WALMART DE MEXICO V,Equity,10.63,65.4,"92,646,791.00","6,059,100,131.40","6,059,100,131.40",Productos básicos de consumo,BW1YVH8,MX01WA000038,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Equity,9.99,167.39,"34,004,964.00","5,692,090,923.96","5,692,090,923.96",Productos básicos de consumo,2242059,MXP320321310,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
GMEXICOB,GRUPO MEXICO B,Equity,9.95,97.14,"58,397,693.00","5,672,751,898.02","5,672,751,898.02",Materiales,2643674,MXP370841019,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
CEMEXCPO,CEMEX CPO,Equity,8.17,16.81,"276,953,087.00","4,655,581,392.47","4,655,581,392.47",Materiales,2406457,MXP225611567,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
TLEVISAC,GRUPO TELEVISA,Equity,4.3,52.9,"46,290,603.00","2,448,772,898.70","2,448,772,898.70",Comunicación,2380108,MXP4987V1378,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
ELEKTRA,GRUPO ELEKTRA,Equity,3.04,"1,625.61","1,067,482.00","1,735,309,414.02","1,735,309,414.02",Financieros,2967084,MX01EL000003,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
GAPB,GRUPO AEROPORTUARIO DEL PACIFICO,Equity,2.53,215.08,"6,702,107.00","1,441,489,173.56","1,441,489,173.56",Industriales,B0ZV104,MX01GA000004,Bolsa Mexicana De Valores,México,MXN,MXN,1,31/05/2021
